Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J4",RJ25_Wayconn_MJEA-660X1_Horizontal,2,RJ12,
J10,"PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",1,PLAN,
"J11, J15",648104131822,2,REMOTE_DISPLAY,
"J12, J13","TerminalBlock_Phoenix_MPT-0,5-10-2.54_1x10_P2.54mm_Horizontal",2,Conn_01x10_Socket,
J14,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,JST PLAN,
"J2, J3",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,2,JST XH,
J5,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack,
"J6, J9","PhoenixContact_MSTBA_2,5_3-G_1x03_P5.00mm_Horizontal",2,Seriale,
J7,"PhoenixContact_MSTBA_2,5_3-G_1x03_P5.00mm_Horizontal",1,MPX,
J8,SW_DIP_SPSTx10_Slide_6.7x26.96mm_W8.61mm_P2.54mm_LowProfile,1,Conn_02x10_Counter_Clockwise_MountingPin,
